Date|Book|Security|DayPnL|YTDPnL|MTDPnL|WTDPnL
20190417|MSEUR|BNP FP|0|172.0306|172.0306|172.0306
20190417|MSEUR|RTO LN|129.83015200003|32631.3701251729|32631.3701251729|32631.3701251729
20190417|MSEUR|PSM GY|-3716.13126822001|-55376.4548414109|-55376.4548414109|-55376.4548414109
20190417|MSEUR|HLMA LN|-4264.6016|7731.1662407908|7731.1662407908|7731.1662407908
20190417|MSEUR|VGM9|-542.304|-15713.327|-15713.327|-15713.327
20190417|MSEUR|OCDO LN|-420.25312|-16185.8907254406|-16185.8907254406|-16185.8907254406
20190417|MSEUR|BAER SW|0|-1455.81229999999|-1455.81229999999|-1455.81229999999
20190417|MSEUR|NOVN SW|0|-1223.583144|-1223.583144|-1223.583144
20190417|MSEUR|AFX GY|337.527749999996|1524.64076|1524.64076|1524.64076
20190417|MSEUR|ESM9|0|-12.5|-12.5|-12.5
20190417|MSEUR|AZN LN|0|-919.232414999996|-919.232414999996|-919.232414999996
20190417|MSEUR|Z M9|143.44|-16888.7140000001|-16888.7140000001|-16888.7140000001
20190417|MSEUR|HMSO LN|0|2180.50250218203|2180.50250218203|2180.50250218203
20190417|MSEUR|KBX GY|1299.26999999999|28552.8143622249|28552.8143622249|28552.8143622249
20190417|MSEUR|VOD LN|1.46048000000001|2.430758|2.430758|2.430758
20190417|MSEUR|GFS LN|10.6980160000002|4991.89890200997|4991.89890200997|4991.89890200997
20190417|MSEUR|EVR LN|1799.52000000001|5166.59979242329|5166.59979242329|5166.59979242329
20190417|MSEUR|DRLCO DC|0|-34047.4499999997|-34047.4499999997|-34047.4499999997
20190417|MSEUR|RMG LN|330.427079999999|2982.99606569997|2982.99606569997|2982.99606569997
20190417|MSEUR|CLNX SQ|-440.893151999991|4568.45822212116|4568.45822212116|4568.45822212116
20190417|MSEUR|ORP FP|-25524.3828504|-26357.3532842783|-26357.3532842783|-26357.3532842783
20190417|MSEUR|FBK IM|0|33109.7283669999|33109.7283669999|33109.7283669999
20190417|MSEUR|RXL FP|-4185.91918175767|-20688.9968993077|-20688.9968993077|-20688.9968993077
20190417|MSEUR|CAM9|-2203.11|-11683.875|-11683.875|-11683.875
20190417|MSEUR|FESBM9|0|0|0|0
20190417|MSEUR|ALC SW|0|22308.0728505001|22308.0728505001|22308.0728505001
20190417|MSEUR|OSR GY|0|1655.58246255988|1655.58246255988|1655.58246255988
20190417|MSEUR|ETL FP|310.695000000002|-975.353904999998|-975.353904999998|-975.353904999998
20190417|MSEUR|WQM9|847.349999999992|169.995000000015|169.995000000015|169.995000000015
20190417|MSEUR|GSRPEMEL|-136.939999999931|-136.939999999931|-136.939999999931|-136.939999999931
20190417|MSEUR|GSRPEMES|304.559999999979|304.559999999979|304.559999999979|304.559999999979
20190417|MSEUR|JD/.LN|629.253024000003|629.253024000003|629.253024000003|629.253024000003
20190417|MSUSC|TWLO US|0|56.999999999998|56.999999999998|56.999999999998
20190417|MSUSC|DOCU US|0|4287.51999811998|4287.51999811998|4287.51999811998
20190417|MSUSC|ELS UN|0|-1811.55000000002|-1811.55000000002|-1811.55000000002
20190417|MSUSC|ERIE UW|0|-5353.50000000003|-5353.50000000003|-5353.50000000003
20190417|MSUSC|EXAS UR|0|631.39000028404|631.39000028404|631.39000028404
20190417|MSUSC|FDS UN|0|1312.37999999999|1312.37999999999|1312.37999999999
20190417|MSUSC|HEI UN|0|-613.800000000021|-613.800000000021|-613.800000000021
20190417|MSUSC|HEI/A.UN|0|-2016.96|-2016.96|-2016.96
20190417|MSUSC|IONS UW|0|5012.70000000002|5012.70000000002|5012.70000000002
20190417|MSUSC|IWO UP|0|1989700|1989700|1989700
20190417|MSUSC|MDB US|0|-4880.62399983999|-4880.62399983999|-4880.62399983999
20190417|MSUSC|OKTA US|0|2925.304701419|2925.304701419|2925.304701419
20190417|MSUSC|PAYC UN|0|-12032.54000055|-12032.54000055|-12032.54000055
20190417|MSUSC|PKI UN|0|6619.34000000003|6619.34000000003|6619.34000000003
20190417|MSUSC|SNAP UN|0|1813.09499598601|1813.09499598601|1813.09499598601
20190417|MSUSC|STE UN|0|-2726.16|-2726.16|-2726.16
20190417|MSUSC|SUI UN|0|-4290.95999999999|-4290.95999999999|-4290.95999999999
20190417|MSUSC|TWLO UN|0|-30309.740001255|-30309.740001255|-30309.740001255
20190417|MSUSC|UBNT UW|0|1062.360000009|1062.360000009|1062.360000009
20190417|MSUSC|ULTI UW|0|-50.770000212961|-50.770000212961|-50.770000212961
20190417|MSUSC|VGT UP|0|-10490.0000000001|-10490.0000000001|-10490.0000000001
20190417|MSUSC|VHT UP|0|-189.999999999969|-189.999999999969|-189.999999999969
20190417|MSUSC|ZBRA UW|0|10888.21|10888.21|10888.21
20190417|MSUSC|IGV US|0|379202.24|379202.24|379202.24
20190417|MSUSC|NQM9|0|-3519.99999999998|-3519.99999999998|-3519.99999999998
20190417|MSUSC|VGT US|0|4608.96999999992|4608.96999999992|4608.96999999992
20190417|MSUSC|MTUM US|8729.99999999999|12325.8799990002|12325.8799990002|12325.8799990002
20190417|MSUSC|VHT US|0|-288.999999999987|-288.999999999987|-288.999999999987
20190417|MSUSC|PDP US|687.654000000005|-285.908800000005|-285.908800000005|-285.908800000005
20190417|MSUSC|ELS US|-445.919999999991|-13781.715|-13781.715|-13781.715
20190417|MSUSC|ERIE US|0|3554.42000000003|3554.42000000003|3554.42000000003
20190417|MSUSC|FDS US|-1987.19999999998|565.11000000005|565.11000000005|565.11000000005
20190417|MSUSC|HEI US|-1966.95|382.50899999997|382.50899999997|382.50899999997
20190417|MSUSC|HEI/A.US|-748.720000000003|-251.585200000014|-251.585200000014|-251.585200000014
20190417|MSUSC|IONS US|0|-3439.14000000001|-3439.14000000001|-3439.14000000001
20190417|MSUSC|PKI US|0|4008.13999999992|4008.13999999992|4008.13999999992
20190417|MSUSC|STE US|-4535.925|-3532.03500000002|-3532.03500000002|-3532.03500000002
20190417|MSUSC|SUI US|663.404999999998|-12294.165|-12294.165|-12294.165
20190417|MSUSC|ZBRA US|-6314.81000000001|12418.54|12418.54|12418.54
20190417|MSUSC|ESM9|0|-5875|-5875|-5875
20190417|MSUSC|ATUS US|-1025.00000000001|5973.27999999993|5973.27999999993|5973.27999999993
